Genes
YLR146C
YHL036W
YPR156C
YGR138C
YBR006W
YJL045W
YHR046C
YKL148C
YJL153C
YLL041C
YDR072C
YLR164W
YPL057C
YDR178W
YMR118C
YBR161W
YJR095W
YBR176W
YLR017W
YMR313C
YDR058C
YLR354C
YGR043C
YLL057C
YLL048C
YGR260W
YGL067W
YKL132C
YDR453C
YCR083W
YBL064C
YIL010W
YLR109W
YGR096W
YLR237W
YOR071C
YOR209C
YOR192C
YEL046C
YKL218C
YKL067W
YBR180W
YDR402C
YKL194C
YGR010W
YLR328W
YGL037C
YFR047C
YLR285W
YOR155C
YGL224C
YJL126W
YIL164C
YLR351C
YKL120W
YOR377W
YGR177C
