rxns
4HBZFm
DHPSm
DHPTtm
DHQS
DHQTi
CYTDt2
CYTK2
DADA
DADK
DIAT
DINSt2
DADNt2
DIPS
DADPtn
4HBZtm
DAGCPT_SC
DKMPPD2
DMATT
DNMPPA
DNTPPA
DANNt2
DASYN_SC
DASYNm_SC
DB4PS
DBTS
DCDPtn
DCMPDA
4HGLSDm
DPCOAK
DPCOAKm
DPGM
DPMVD
ECOAH4p
ECOAH5p
DPR
4HPRO_LTtm
DPRm
ECOAH6p
ECOAH7p
ECOAH8p
DROPPRy
4HTHRS
DRTPPD
EHGLAT
EHGLATm
EHGLATp
ENO
EPISTAT_SC
DTMPK
DTTPt
DUMPtn
DURIK1
DURIPP
DURIt2
DUTPDP
EPISTESTH_SC
EPISTt
DXHPScm
D_LACDcm
EPMGH
4MOPDC
ERGSTAT_SC
ERGSTESTH_SC
ERGSTGLCT
D_LACDm
D_LACt2
D_LACt2m
D_LACtm
E4HGLUtm
ERGSTt
ERGSTter
ERGTETROLter
E4HGLUtp
E4Ptm
ETHAK
5AOPt2
ETHAPT_SC
ETHAt
ETOHt
ETOHtm
ECOAH11p
5AOPtm
6PGLter
8AONNt2
AABTN
AACTOOR
AASAD1
AASAD2
AATA
ABTA
ABUTDm
ABUTt2r
ACACT1r
ACACT1m
FA100tp
ACACT4p
FA120ACPHi
FA120ACPtm
ACACT5p
FA120tp
FA140ACPHi
FACOAL182
FA140ACPtm
FACOAL240p
FA140COAabcp
FA140tp
FA141ACPHi
FA141ACPtm
FACOAL260p
FACOAL80p
FADFMNtm
FALDH
FA141COAabcp
FAS161ACPm
FA141tp
FA160ACPHi
FA160ACPtm
FA160COAabcp
FAO141p_even
FAO141p_odd
FA160tp
FA161ACPHi
FA161ACPtm
FAS180
FAO240p
FAO80p
FAS100
FA180ACPH
FA180ACPtm
FA180COAabcp
FA181ACPH
FA181ACPtm
FA182ACPH
FA182ACPtm
FA240tp
FAS100ACPm
FAS100COA
FAS120
FAS120ACPm
FAS120COA
FAS140
FAS140ACPm
FAS140COA
FAS141
FA260tp
FA80tp
FACOAL100p
FAS141ACPm
FACOAL120p
FACOAL140p
FACOAL141
FACOAL141p
FAS160
FAS160ACPm
FAS160COA
FAS161
FACOAL160p
FAS180ACPm
G3PDm
FAS180COA
GLUK
FAS181
FAS181ACPm
FAS182ACPm
G3PT
FAS240_L
G5SADs
G5SADrm
FAS260
G5SD
G5SD2
GLUN
GLUPRT
G6PDA
FAS80ACPm_L
G6PDH2r
G6PDH2er
G6PI
G6PI3
G6Pter
GALIGH
GALKr
GALS3
GALT
GLUSx
GLUTRS
GLUTRSm
GLUt2n
GLUt2r
GLUt5m
GLUt7
GLUt7m
GLXt
GLXtp
GLYAT
GLYC3Ptm
GALUi
GALt2
GAM6Pt
GAPD
GLYCDy
FAS80COA_L
GLYCLm
GLYCt
GLYCt2
GARFT
GAT1_SC
GAT2_SC
GBEZ
GCALDt
GCALDtm
GCC2am
GCC2bim
GCC2cm_copy1
GCCam
GCCbim
GLYGS
GLYK
GLYOX
GLYOXm
GLYTRS
GLYt2m
GLYt2r
GCCcm
GMPS2
GND
FAS80_L
GNNUC
GDPtn
GF6PTA
GPDDA1
GGLGH
FBA
GGTT
GHMT2r
GHMT2rm
GRTT
GSNK
GSNt2
GK2
GLCGSD
GLCGSDv
GSNt2m
GTHOr
GTHOXti
GTHOm
GLCNtv
FBA2
GLCP
GLCS2
GTHPi
GTHPm
GTHRDabcv
GTHRDt2
GLCt1
GLCtv
FBA3
GLNS
GLNTRS
GTHS
GTMLT
GLNt2n
FBP
GLNt2r
GLNt6
GTPCI
GTPCII
GLNt7
FBP26
GLU5K
GLUCYS
GLUDC
GUAD
GUAPRT
GUAt2r
GUAtm
H2O2tn
GLUDxi
GLUDy
FCLTm
HCITSm
HCITSn
FDH
HACD10p
HACD4p
FDNG
HACD5p
HACD6p
HACD7p
HACD8p
HACNHm
FE2t
HBZOPT6m
FE2utm
HCYSMT
HCYSt2p
FECOSTAT_SC
HEMEOMOm
HEMEOSm
HETZK
FECOSTESTH_SC
HEX1
HEX4
HEX7
HEXCCOAtx
HEXDPtm
ILEtmi
FECOSTt
HGNTOR
HICITDm
FEtm
IMPC
FKYNH
IMPD
IND3ACtm
HISTD
FMETTRSm
HISTP
HISTRS
IND3ETHt
IND3ETHtm
INDPYRD
HISTRSm
INSK
FMNAT
HISt2m
HISt2r
HISt6
HKYNH
HMBS
INSTt2
INSt2
IPC124PLC_SC
IPC126PLC_SC
IPC224PLC_SC
IPC226PLC_SC
HMGCOAR
HMGCOAS
HMGCOASm
IPC324PLC_SC
IPC326PLC_SC
HMGCOAtm
FMNATm
HMPK1
HPPKm
HPROa
IPCS124_SC
IPCS126_SC
IPCS224_SC
IPCS226_SC
HPROb
HPROxm
IPCS324_SC
IPCS326_SC
HPROym
FMNRx
HSDxi
IPDDI
FMNRx2
IPDPtm
IPMD
IPPMIa
IPPMIb
IPPS
HSDy
HSERTA
HSK
HSTPT
HXANt2r
HXPRT
IAMACt
IAMOHt
IAMOHtm
IBUTACt
IBUTOHt
IBUTOHtm
ICDHxm
IPPSm
KARA1im
KARA2im
KYN
KYN3OX
LALDO3
LANOSTAT_SC
ICDHyr
ICDHym
ICDHyp
ICL
LANOSTESTH_SC
FOLD3m
LANOSTt
LCADi
LEUTA
LEUTAm
LEUTRS
LEUTRSm
ID3ACALDt
ID3ACALDtm
IG3PS
IGPDH
IGPS
ILETA
ILETAm
ILETRS
ILETRSm
ILEt2r
ILEt6
ILEt7
LEUt2r
LEUt6
LEUt7
LGTHL
LNS14DM
LNS14DMx
FORt
LNSTLS
MACACI
MALOAAtp
LPCAT_SC
FORtm
FRDPtm
FRDcm
LSERDHr
LYSTRS
LYSTRSm
LYSt2m
LYSt2r
MALS
MALSp
MALT
MALTt2
MALt2r
MALtm
MAN1PT
LYSt6
L_LACD2cm
L_LACt2r
MAN6PI
L_LACtm
FRDm
MANt2
MCITDm
MCITL2m
FRTT
MCITSm
MCOATA
MIPC326PLC_SC
MIPCS124_SC
MIPCS126_SC
MDH
MIPCS224_SC
MDHm
MDHp
MIPCS226_SC
MIPCS324_SC
MIPCS326_SC
FRUK
MDRPD
FRUt2
ME1m
ME2m
MOHMT
MTAP
MELIBt2
FTHFCLm
MELTGH
METAT
MTHFCm
MTHFDm
METB1
METS
METTRS
METTRSm
METt2m
FTHFLi
METt2r
MTRI
NABTNO
NACt
NADDPp
MEVK1
MEVK2
MEVK3
MEVK4
MFAPS_SC
MGSA
MHPGLUT
NADN
NADNm
FTHFLmi
FUM
MI1PP
MI1PS
NADS1
MIP2C124PLC_SC
NAPRT
MIP2C126PLC_SC
FUMAC
MIP2C224PLC_SC
MIP2C226PLC_SC
MIP2C324PLC_SC
MIP2C326PLC_SC
NAPRTm
NDP4
MIP2CS124_SC
MIP2CS126_SC
MIP2CS224_SC
FUMm
MIP2CS226_SC
MIP2CS324_SC
MIP2CS326_SC
MIPC124PLC_SC
NDPK4
NDPK5
MIPC126PLC_SC
NDPK6
FUMt2r
NDPK7
NDPK8
MIPC224PLC_SC
MIPC226PLC_SC
MIPC324PLC_SC
NFORTYRt
NFTYROX
NTD1
NTD10
NTD11
NTD2
NTD3
NH4tp
NMNAT
NMNATm
NMNTP
NTD4
NTD5
NMNt2m
NMNt2p
NNAM
NNAMrm
NTD6
NTD7
NNATr
NNATm
NNDPR
NTD8
NTD9
G3PCt
NNDPRm
G3PD1ir
NNMT
NTP4
NTRLASE
NTRLASE2
NTRLASE3
G3PD1irm
PETHCT
PETOHM_SC
PEtg_SC
O2ter
OAAt
PEtm_SC
OAAt2m
PEtv_SC
OBDHm
PPM
OCBT
OCDCYAt
OHACT1
PFK
PFK26
PFK_3
PGAMT
OHACT2
PGCD
PPNCL2
PGI
OHACT3
OHACT4
PGK
PGL
PGM
PGMT
PGPPAm_SC
OHACT5
OHPBAT
OMCDC
OMCDCm
OMPDC
PHCDm
PHCHGSm
PHEACt
ORNDC
PPND
ORNTA
ORNTACim
ORNt2r
ORNt3m
PHETA1
PHETRS
PHETRSm
PHEt2m
PHEt2r
ORPT
OXAGm
PPND2
OXO2Ctm
P5CDm
PPNDH
P5CR
PACALDt
PACALDtm
PAN4Ptm
PINOS_SC
PANTS
PANTtm
PAPSR
PAPt
PAPtm
PIt2v
PAtm_SC
PPPG9tm
PC
PCDAGAT
PIt5m
PLBPC_SC
PPPGOm
PLD_SC
PMANM
PMDPHT
PMETM_SC
PDE2
PDE3
GCC2cm_copy2
PDHm
PENDPtm
PMEVK
PPTTm
PMPK
PPYRDC
PNP
PNTK
PNTOt2
PYRDC2
PYRt
POLYAO
PRAGSr
POLYAO2
POLYAO3
PYRt2
PYRt2m
PRAIS
PYRt2p
QUILSYN
PPBNGS
PPCDC
PPCK
PRAIi
QULNS
PRAMPC
QULNtm
RAFGH
RBFK
SLCBK2
SLFAT
RBFKm
PRASCSi
RBFSa
RBFSb
SO4ti
RBK
SPH1Pter
RIBFLVt2
PRATPP
RIBFLVtm
SPHPL
RIBt2
PRFGS
SPMDAT1
RNDR1
PRMICI
RNDR1n
SPMDt3i
SPMDtex2
RNDR2
RNDR2n
RNDR3
RNDR3n
SPMS
SPRMS
SPRMt2i
SQ23EPXter
SQLEr
SQLErx
RNDR4
RNDR4n
SQLS
RNMK
PRO1xm
RNTR1
RNTR2
SQLter
RNTR3
PROTRS
RNTR4
RPE
SSALy
PROt2r
RPI
SACCD1
SUCCt2r
SACCD2
PROtm
SADT
SAM24MT
SBPP1er
SBPP2er
SBTD_D2
SUCCtm
SUCD1m
SUCD2_u6m
SUCFUMtm
SUCOASm
SUCRt2
SBTR
SBT_Dt
SERAT
SULR
T4HCINNMFM
SERPT
PRPPS
SERTRS
SERt2m
SERt2r
SFGTHi
TAGL_SC
TALA
TAUDO
TAURt
SHCHD
SHCHF
SHK3Dr
SHKK
SHSL1
TCHOLAabcv
THFATm
THFGLUS
THIORDXi
THIORDXm
THIORDXni
THIORDXp
SHSL4r
SLCBK1
PRPPtm
THMDt2
THMP
PSCVT
THMPPt2m
THRt2r
THYMt3r
THZPSN1_SC
THZPSN2_SC
THMt2
PSERDg_SC
THRA2
TKT1
PSERDm_SC
TKT2
TMDK1
TMDPK
THRA
THRD_L
THRD_Lm
THRS
THRTRS
THRTRSm
THRt2m
URIK1
TMDPP
TMDPPK
TMDS
TMN
TMPK
TMPPP
TPI
TRDOXtp
TRDR
PSERDv_SC
TRDRDtp
TRDRm
TRE6PP
URIK2
URIt2
TRE6PS
TREH
PSERS_SC
TREHv
VALTA
VALTAim
VALTRS
TREt2
TREt2v
VALTRSm
PSERSm_SC
VALt2m
VALt2r
XANt
XPPT
XTSNt2
TRIGS_SC
TRPO2
TRPS1
TRPTA
TRPTRS
TRPTRSm
TRPt2m
TRPt2r
TTCCOAtx
XYLK
XYLR
XYLTD_D
XYLTt
TYRNFT
PSERT
TYRTAi
TYRTAim
TYRTAip
XYLt
YUMPS
ZYMSTAT_SC
ZYMSTESTH_SC
TYRTRS
TYRTRSm
TYRt2m
PSPH1Pter
TYRt2p
TYRt2r
TYRt6
TYRt7
UDPACGLP
ZYMSTt
SERD_L
UDPG4E
PSPHPL
UDPGALt2g
UGLT
UGLYCH
PSPHS
PSP_L
UMPKn
UMPtn
PStg_SC
PStm_SC
UNK3
UPP3MT
PStv_SC
UPP3S
UPPDC1
UPPRT
URAt2
UREA2t2
UREASE
PTE10x
URIDK2r
URIDK2rn
PTE11x
PTE12x
PTE2x
PTE7x
PTE8x
PTE9x
PTPATi
PTPATim
PTRCt3i
PTRCtex2
PUNP1
PUNP1m
PUNP2
PUNP3
PUNP3m
PUNP4
PUNP5
PUNP6
PUNP7
PYK
PYNP2r
PYR5CDm
PYRDC
